"ts","open","high","low","close","volume"
"1753343400000","182.6802","183.194","182.6779","183.1118","291.74"
"1753343700000","183.1118","184.2816","183.1118","184.2775","373.59"
"1753344000000","184.2775","184.2793","183.4983","183.5071","381.78"
"1753344300000","183.5071","184.8722","183.5065","184.8488","486.83"
"1753344600000","184.8488","185.8356","184.8249","185.7161","558.63"
"1753344900000","185.7161","185.7194","184.9861","185.0941","553.46"
"1753345200000","185.0941","185.1005","184.6792","184.9786","337.37"
"1753345500000","184.9786","185.1756","184.8832","185.0739","399.39"
"1753345800000","185.0739","186.088","185.0687","185.8006","649.32"
"1753346100000","185.8006","186.1093","185.7951","185.9776","352.17"
"1753346400000","185.9776","185.9842","185.5781","185.6857","320.99"
"1753346700000","185.6857","186.4859","185.6857","186.2274","379"
"1753347000000","186.2274","186.6512","185.9953","186.3779","253.19"
"1753347300000","186.3779","186.5407","186.1787","186.1825","366.56"
"1753347600000","186.1825","186.3179","186.1798","186.3179","325.03"
"1753347900000","186.3179","186.4336","186.3179","186.4322","228.51"
"1753348200000","186.4322","186.5757","185.5781","185.5813","332.46"
"1753348500000","185.5813","185.6902","185.273","185.2739","369.98"
"1753348800000","185.2739","186.0935","185.2725","185.5832","331.35"
"1753349100000","185.5832","185.6927","185.1945","185.678","178.8"
"1753349400000","185.678","185.7927","185.6638","185.7806","196.85"
"1753349700000","185.7806","185.7842","185.2764","185.3005","205.09"
"1753350000000","185.3005","186.2833","185.298","186.277","221.5"
"1753350300000","186.277","186.2847","184.6781","184.7791","286.01"
"1753350600000","184.7791","185.4","184.7791","185.2839","347.59"
"1753350900000","185.2839","185.3828","185","185.3767","165.18"
"1753351200000","185.3767","186.2792","185.2755","186.1983","268.08"
"1753351500000","186.1983","186.2091","185.4979","185.5369","251.07"
"1753351800000","185.5369","185.5379","185.0975","185.3316","154.79"
"1753352100000","185.3316","185.5061","184.674","184.6741","374.26"
"1753352400000","184.6741","184.6765","184.0785","184.1792","457.69"
"1753352700000","184.1792","184.4819","183.7764","183.7764","497.21"
"1753353000000","183.7764","183.8802","183.1949","183.1949","451.09"
"1753353300000","183.1949","184.0126","183.1792","183.7608","330.38"
"1753353600000","183.7608","184.201","183.5001","183.8842","281.08"
"1753353900000","183.8842","184.6031","183.6963","184.3862","316.91"
"1753354200000","184.3862","184.6465","184.3855","184.6396","184.96"
"1753354500000","184.6396","185.2583","184.6385","185.0286","269.35"
"1753354800000","185.0286","185.8998","184.9936","185.0935","197.56"
"1753355100000","185.0935","185.4571","185.0825","185.2735","239.93"
"1753355400000","185.2735","185.9205","185.2696","185.9166","307.17"
"1753355700000","185.9166","186.2921","185.6692","186.0171","354.09"
"1753356000000","186.0171","186.0175","185.8686","185.9981","225.1"
"1753356300000","185.9981","185.9997","185.8737","185.8803","264.1"
"1753356600000","185.8803","186.4009","185.6928","186.3991","253"
"1753356900000","186.3991","186.4607","186.1868","186.4586","196.55"
"1753357200000","186.4586","186.8345","186.4576","186.787","198.82"
"1753357500000","186.787","186.7931","186.4764","186.4779","193"
"1753357800000","186.4779","186.9636","186.4768","186.6304","282.11"
"1753358100000","186.6304","186.9999","186.6304","186.7017","331.02"
"1753358400000","186.7017","187","186.5128","186.7792","216.12"
"1753358700000","186.7792","186.7792","186.1808","186.4744","193.11"
"1753359000000","186.4744","186.4756","185.5792","185.8899","335.87"
"1753359300000","185.8899","185.9833","185.1026","185.5984","395.53"
"1753359600000","185.5984","186.4","185.5972","186.2804","252.98"
"1753359900000","186.2804","186.6724","186.1781","186.2786","560.11"
"1753360200000","186.2786","186.2869","185.6345","185.9672","305.68"
"1753360500000","185.9672","185.9676","185.1991","185.1992","348.95"
"1753360800000","185.1992","185.3999","184.968","185.1926","394.72"
"1753361100000","185.1926","185.6821","185.0154","185.6772","471.7"
"1753361400000","185.6772","185.9057","185.4953","185.5133","260.74"
"1753361700000","185.5133","186.2806","185.5127","186.2735","189.26"
"1753362000000","186.2735","186.4009","185.8762","186.3992","270.85"
"1753362300000","186.3992","186.4009","185.5792","186.2789","306.88"
"1753362600000","186.2789","186.406","186","186.292","233.07"
"1753362900000","186.292","186.3903","186.2878","186.3861","290.77"
"1753363200000","186.3861","186.3992","186.0085","186.2812","215.22"
"1753363500000","186.2812","186.5873","186.2803","186.5772","343.96"
"1753363800000","186.5772","187.1282","185.874","187.1255","460.25"
"1753364100000","187.1255","187.6","186.2433","186.4576","410.25"
"1753364400000","186.4576","186.8813","186.1756","186.1767","455.61"
"1753364700000","186.1767","186.7486","186.1757","186.2761","352.58"
"1753365000000","186.2761","186.5802","185.2867","185.5984","537.61"
"1753365300000","185.5984","185.599","184.4976","184.5003","474.16"
"1753365600000","184.5003","185.3801","184.3779","185.3761","450.77"
"1753365900000","185.3761","185.6813","184.0821","184.3091","288.55"
"1753366200000","184.3091","184.4816","183.5","183.8303","504.23"
"1753366500000","183.8303","184.768","183.8289","184.6","285.35"
"1753366800000","184.6","184.8068","184.0782","184.1791","283.29"
"1753367100000","184.1791","185.5361","184.1791","185.5284","310.66"
"1753367400000","185.5284","186.4","185.2815","186.3923","570.54"
"1753367700000","186.3923","187.7242","186.3893","187.4839","592.91"
"1753368000000","187.4839","187.9098","186.8445","187.908","646.55"
"1753368300000","187.908","188.509","187.9021","188.509","694.52"
"1753368600000","188.509","189.2799","188.509","189.2677","682.69"
"1753368900000","189.2677","190.0025","189.2333","189.7768","780.01"
"1753369200000","189.7768","190.4809","189.5265","190.3794","704.46"
"1753369500000","190.3794","191.38","190.3576","191.1457","752.61"
"1753369800000","191.1457","191.7252","190.4972","191.4776","756.33"
"1753370100000","191.4776","191.4802","190.2757","190.2766","806.59"
"1753370400000","190.2766","190.3783","188.6172","188.6176","585.24"
"1753370700000","188.6176","189.4796","188.6159","189.1812","538.65"
"1753371000000","189.1812","189.1818","187.5788","187.9822","583.78"
"1753371300000","187.9822","188.7384","187.5791","187.9791","558.51"
"1753371600000","187.9791","189.186","187.9791","188.4787","605.31"
"1753371900000","188.4787","188.9019","188.1444","188.8958","378.46"
"1753372200000","188.8958","188.9352","188.4972","188.742","375.26"
"1753372500000","188.742","188.742","187.7637","188.5821","366.99"
"1753372800000","188.5821","188.9","188.4759","188.4799","522.37"
"1753373100000","188.4799","188.5755","187.9953","188.5755","294.92"
"1753373400000","188.5755","188.5755","187.3855","187.6777","400.38"
"1753373700000","187.6777","188.2614","187.2246","188.1942","521.48"
"1753374000000","188.1942","188.1942","187.274","187.3263","416.3"
"1753374300000","187.3263","187.3288","186.0092","186.0092","652.93"
"1753374600000","186.0092","186.4848","185.7888","185.9245","585.96"
"1753374900000","185.9245","185.9259","185.2756","185.6719","596.07"
"1753375200000","185.6719","185.8029","185.2772","185.278","355.77"
"1753375500000","185.278","185.9786","185.1961","185.9762","459.44"
"1753375800000","185.9762","186.3998","185.9001","186.174","329.28"
"1753376100000","186.174","186.1805","185.5","185.8765","330.69"
"1753376400000","185.8765","186.7588","185.8735","186.7588","559.13"
"1753376700000","186.7588","187.3722","186.7536","187.0788","423.03"
